context,text,file,lineStart,lineEnd
pricing_page_headline,Choose your plan,app/pricing/page.tsx,195,197
pricing_page_subheadline,Find the right plan for your workflow — from solo analysts to full Agile delivery teams.,app/pricing/page.tsx,198,200
pricing_cta_starter,Continue with Starter Plan,components/pricing/PricingGrid.tsx,90,90
pricing_cta_enterprise,Contact Sales →,components/pricing/PricingGrid.tsx,91,91
pricing_cta_paid,Start Free Trial,components/pricing/PricingGrid.tsx,92,92
pricing_currency_toggle_monthly,Monthly,app/pricing/page.tsx,213,213
pricing_currency_toggle_annual,Annual,app/pricing/page.tsx,223,223
pricing_annual_badge,Save up to 17%,app/pricing/page.tsx,224,226
pricing_most_popular_badge,⭐ Most Popular,components/pricing/PricingGrid.tsx,114,114
pricing_footer_cta,Get started in minutes.,app/pricing/page.tsx,324,326
pricing_footer_subheadline,Start free today — no setup required.,app/pricing/page.tsx,327,329
pricing_footer_button,Try SynqForge Free,app/pricing/page.tsx,332,332
pricing_disclaimer,* Prices shown exclude VAT. VAT will be added at checkout where applicable. Annual plans are billed upfront with a 17% discount. All plans include a 14-day free trial (except Starter).,app/pricing/page.tsx,339,343
ai_actions_explanation_title,What are AI Actions?,app/pricing/page.tsx,247,247
ai_actions_explanation_subtitle,One AI action equals one analyze+suggest cycle. Here's what typical operations cost:,app/pricing/page.tsx,248,250
ai_actions_pro_tip,💡 Pro tip: All plans include preflight cost estimates, so you'll always know how many actions an operation will use before you run it.,app/pricing/page.tsx,267,269
addons_section_title,Bolt-On Add-Ons,components/pricing/AddOnsSection.tsx,55,55
addons_section_subtitle,Enhance your plan with additional AI actions or priority support,components/pricing/AddOnsSection.tsx,56,58
addon_button,Add to Account,components/pricing/AddOnsSection.tsx,125,125
addons_footer_link,Add-ons can be purchased from your billing settings,components/pricing/AddOnsSection.tsx,134,136
faq_section_title,Frequently Asked Questions,components/pricing/FAQSection.tsx,20,20
faq_section_subtitle,Everything you need to know about SynqForge pricing,components/pricing/FAQSection.tsx,21,23
faq_contact_link,Still have questions? Contact our sales team,components/pricing/FAQSection.tsx,44,46
competitive_benchmark_title,🎯 Competitive Pricing Benchmark,app/pricing/page.tsx,293,295
competitive_benchmark_subtitle,SynqForge pricing is benchmarked against leading PM tools and offers better value:,app/pricing/page.tsx,296,298
competitive_benchmark_jira,Jira: ~£7.50 Standard | ~£14.50 Premium,app/pricing/page.tsx,301,301
competitive_benchmark_linear,Linear: £8 Basic | £12 Business,app/pricing/page.tsx,304,304
competitive_benchmark_clickup,ClickUp: £7-12 + £7 AI add-on,app/pricing/page.tsx,307,307
competitive_benchmark_shortcut,Shortcut: £8.50 Team | £12 Business,app/pricing/page.tsx,310,310
competitive_benchmark_value,✨ SynqForge delivers AI-powered story management at competitive prices with built-in AI actions — no extra add-ons required for core features.,app/pricing/page.tsx,314,316
plan_starter_description,For individuals exploring SynqForge,config/plans.json,17,17
plan_core_description,For freelancers and solo business analysts,config/plans.json,48,48
plan_pro_description,For small delivery teams,config/plans.json,83,83
plan_team_description,For larger Agile teams,config/plans.json,120,120
